Prov,W_treatment,Code,Leafarea,Leafmass,Comment
A,w,A-01,12.43,0.081,
A,w,A-03,10.94,0.0773,
A,w,A-04,13.05,0.1235,
A,w,A-07,10.07,0.0841,
A,w,A-09,14.31,0.128,
A,w,A-10,16.13,0.136,
A,w,A-12,12.82,0.0956,
A,w,A-15,32.41,0.1921,
B,d,B-01,19.82,0.1545,
B,d,B-07,16.4,0.1322,
B,d,B-08,16.31,0.1442,
B,d,B-09,16.79,0.0987,
B,d,B-10,14.6,0.0951,
B,d,B-11,15.44,0.1405,
B,d,B-13,13.2,0.1096,
B,d,B-14,15.52,0.0927,
B,w,B-01,7.97,0.0574,
B,w,B-04,12.35,0.1055,
B,w,B-06,12.74,0.1038,
B,w,B-08,10.86,0.0693,
B,w,B-09,19.01,0.1605,
B,w,B-10,14.38,0.0884,
B,w,B-11,10.46,0.0703,
B,w,B-14,16.77,0.1182,
C,w,C-01,22.05,0.1433,
C,w,C-06,13.37,0.1136,
C,w,C-09,9.67,0.1239,4punches
C,w,C-10,13.14,0.1095,
C,w,C-13,12.84,0.1014,
C,w,C-14,16.53,0.1698,
C,w,C-15,11.42,0.1588,
A,w,A-16,27.9,0.1208,
A,w,A-17,21.3,0.1247,
A,w,A-19,39,0.2135,
A,w,A-20,22.2,0.1251,
A,w,A-23,19.6,0.0934,
A,w,A-24,21.5,0.1136,
A,w,A-25,31.8,0.1234,
A,w,A-28,17.4,0.0832,
B,d,B-16,31.97,0.1289,
B,d,B-17,35.84,0.165,
B,d,B-18,26.39,0.1315,
B,d,B-19,43.22,0.2223,
B,d,B-20,29.73,0.1523,
B,d,B-21,28.93,0.1943,
B,d,B-26,33.48,0.1638,
B,d,B-30,38.27,0.2007,
B,w,B-17,14.7,0.0614,
B,w,B-18,21.4,0.1224,
B,w,B-21,17.4,0.0864,
B,w,B-22,40.8,0.2081,
B,w,B-24,31,0.1563,
B,w,B-26,32,0.1503,
B,w,B-28,21.6,0.0885,
B,w,B-29,36.2,0.191,
C,w,C-19,18.8,0.1344,
C,w,C-20,24.1,0.1328,
C,w,C-22,17.7,0.0871,
C,w,C-23,24.5,0.1438,
C,w,C-25,17.4,0.0932,
C,w,C-26,20.5,0.1154,
C,w,C-27,18.6,0.0943,
C,w,C-30,19.4,0.1058,
A,w,A-33,40.26,0.1942,
A,w,A-35,26.69,0.199,
A,w,A-36,15.05,0.0765,
A,w,A-37,45.13,0.208,
A,w,A-42,29.92,0.1564,
A,w,A-43,22.07,0.095,
A,w,A-44,24.24,0.1445,
A,w,A-45,35.02,0.1791,
B,d,B-31,16.85,0.0916,
B,d,B-32,28.62,0.1521,
B,d,B-33,41.37,0.2977,
B,d,B-35,19.95,0.1103,
B,d,B-37,40.94,0.1972,
B,d,B-38,28.21,0.1589,
B,d,B-39,26.44,0.1342,
B,d,B-42,38.97,0.2502,
B,w,B-33,39.14,0.1921,
B,w,B-37,35.87,0.1864,
B,w,B-38,44.17,0.2009,
B,w,B-39,19.12,0.0999,
B,w,B-40,15,0.0778,
B,w,B-43,27.36,0.135,
B,w,B-44,51.38,0.2417,
B,w,B-45,27.87,0.1206,
C,w,C-31,42.64,0.2272,
C,w,C-33,36.81,0.1818,
C,w,C-36,24.9,0.1263,
C,w,C-37,36.29,0.2041,
C,w,C-41,45.42,0.2733,
C,w,C-42,27.06,0.1571,
C,w,C-43,34.9,0.1945,
C,w,C-44,19.93,0.106,
A,w,A-47,26.73,0.1896,4punches
A,w,A-49,39.76,0.3484,
A,w,A-50,23.19,0.1082,
A,w,A-52,39.74,0.2055,
A,w,A-53,62.47,0.3632,
A,w,A-57,29.68,0.1505,
A,w,A-59,37.14,0.2059,
A,w,A-60,30.71,0.1591,
B,d,B-46,47.03,0.2998,
B,d,B-48,47.59,0.29,
B,d,B-49,36.5,0.2212,
B,d,B-51,40.09,0.2299,
B,d,B-53,30.37,0.153,
B,d,B-54,23.44,0.1404,
B,d,B-58,36.39,0.2281,
B,d,B-59,26.23,0.1607,
B,w,B-46,36.91,0.1646,
B,w,B-47,24.54,0.12,
B,w,B-48,38.21,0.1729,
B,w,B-52,45.4,0.2182,
B,w,B-54,56.77,0.3319,
B,w,B-56,33.81,0.2005,
B,w,B-57,27.86,0.1555,
B,w,B-58,32.09,0.1671,
C,w,C-47,26.35,0.1612,
C,w,C-52,23.18,0.1096,
C,w,C-55,41.54,0.2643,
C,w,C-57,31.64,0.1766,
C,w,C-58,36.34,0.1887,
C,w,C-59,30.96,0.1602,
C,w,C-60,35.85,0.1534,
A,w,A-62,52.58,0.2564,
A,w,A-64,53.77,0.2373,
A,w,A-65,45.21,0.2135,
A,w,A-67,45.41,0.1727,
A,w,A-69,46.82,0.2359,
A,w,A-71,38.66,0.1764,
A,w,A-72,39.31,0.1467,
A,w,A-74,33.52,0.1743,
B,d,B-61,27.52,0.1748,
B,d,B-62,31.13,0.1852,
B,d,B-64,52.69,0.3002,
B,d,B-65,34.77,0.1878,
B,d,B-67,37.19,0.1953,
B,d,B-69,38.63,0.2121,
B,d,B-72,30.17,0.1696,
B,d,B-73,26.88,0.1551,
B,w,B-63,36.7,0.1685,
B,w,B-64,42.34,0.2133,
B,w,B-66,30.8,0.1372,
B,w,B-67,35.82,0.1794,
B,w,B-68,59.34,0.2776,
B,w,B-69,41.85,0.206,
B,w,B-73,33.25,0.1643,
B,w,B-75,28.93,0.1246,
C,w,C-62,53.52,0.3168,
C,w,C-64,31.36,0.1736,
C,w,C-65,45.34,0.2429,
C,w,C-66,55.31,0.3064,
C,w,C-67,50.52,0.2845,
C,w,C-70,21.63,0.1028,
C,w,C-73,40.85,0.2174,
C,w,C-75,40.08,0.209,
A,w,A-76,24.68,0.1141,
A,w,A-77,24.15,0.126,
A,w,A-79,26.51,0.1088,
A,w,A-80,35.12,0.1586,
A,w,A-82,26,0.108,
A,w,A-86,27.65,0.1195,
A,w,A-89,27.36,0.1365,
A,w,A-90,22.88,0.1054,
B,d,B-76,17.74,0.1044,
B,d,B-78,36.06,0.2264,
B,d,B-79,19.52,0.1163,
B,d,B-82,30.1,0.1713,
B,d,B-84,14.57,0.0957,
B,d,B-85,21.98,0.1389,
B,d,B-88,25.82,0.138,
B,d,B-90,23.56,0.1408,
B,w,B-76,18.16,0.1194,
B,w,B-79,18.63,0.1037,
B,w,B-80,26.7,0.1428,
B,w,B-81,22.35,0.1075,
B,w,B-83,27.61,0.1398,
B,w,B-84,14.48,0.0682,
B,w,B-85,38.55,0.1985,
B,w,B-89,18.88,0.1051,
C,w,C-76,24.89,0.1436,
C,w,C-77,27.28,0.1211,
C,w,C-78,31.51,0.1834,
C,w,C-80,25.1,0.1484,
C,w,C-83,35.76,0.1961,
C,w,C-84,31.85,0.2082,
C,w,C-87,21.37,0.1098,
C,w,C-90,24.2,0.1579,
