"Room","Vcmax25","Jmax25","Date"
1,60.201478036728,130.035192559332,2016-02-03
2,89.582365519135,170.122396755461,2016-02-03
3,112.953398169484,200.605235149003,2016-02-03
4,147.297350675889,240.094681601699,2016-02-03
5,160.521864504439,240.894179274887,2016-02-03
6,172.958558965312,247.330739320396,2016-02-03
1,77.0372711269153,166.400505634137,2016-02-26
2,46.3848865880325,88.0877395216893,2016-02-26
3,69.8571013425985,124.066211984455,2016-02-26
4,82.9457553110321,135.201581156982,2016-02-26
5,100.622333407054,151.003319688864,2016-02-26
6,136.417249345418,195.076666563948,2016-02-26
1,60.9334690406492,131.616293127802,2016-02-04
2,87.704214261261,166.555672527906,2016-02-04
3,111.079646133532,197.277451533153,2016-02-04
4,144.499455225243,235.534112017146,2016-02-04
5,157.917537065423,236.985881032016,2016-02-04
6,171.369806373143,245.058823113594,2016-02-04
1,61.6654600445704,133.197393696272,2016-02-05
2,85.826063003387,162.98894830035,2016-02-05
3,109.205894097581,193.949667917303,2016-02-05
4,141.701559774597,230.973542432593,2016-02-05
5,155.313209626406,233.077582789145,2016-02-05
6,169.781053780973,242.786906906792,2016-02-05
1,62.3974510484915,134.778494264742,2016-02-06
2,83.947911745513,159.422224072795,2016-02-06
3,107.332142061629,190.621884301453,2016-02-06
4,138.903664323951,226.41297284804,2016-02-06
5,152.708882187389,229.169284546275,2016-02-06
6,168.192301188804,240.51499069999,2016-02-06
1,63.1294420524127,136.359594833212,2016-02-07
2,82.0697604876389,155.85549984524,2016-02-07
3,105.458390025678,187.294100685603,2016-02-07
4,136.105768873305,221.852403263488,2016-02-07
5,150.104554748372,225.260986303404,2016-02-07
6,166.603548596635,238.243074493188,2016-02-07
1,63.8614330563339,137.940695401681,2016-02-08
2,80.1916092297649,152.288775617685,2016-02-08
3,103.584637989726,183.966317069753,2016-02-08
4,133.307873422659,217.291833678935,2016-02-08
5,147.500227309356,221.352688060534,2016-02-08
6,165.014796004466,235.971158286386,2016-02-08
1,64.5934240602551,139.521795970151,2016-02-09
2,78.3134579718909,148.722051390129,2016-02-09
3,101.710885953775,180.638533453904,2016-02-09
4,130.509977972013,212.731264094382,2016-02-09
5,144.895899870339,217.444389817663,2016-02-09
6,163.426043412296,233.699242079584,2016-02-09
1,65.3254150641763,141.102896538621,2016-02-10
2,76.4353067140169,145.155327162574,2016-02-10
3,99.837133917823,177.310749838054,2016-02-10
4,127.712082521367,208.170694509829,2016-02-10
5,142.291572431322,213.536091574793,2016-02-10
6,161.837290820127,231.427325872782,2016-02-10
1,66.0574060680975,142.683997107091,2016-02-11
2,74.5571554561429,141.588602935019,2016-02-11
3,97.9633818818715,173.982966222204,2016-02-11
4,124.914187070721,203.610124925276,2016-02-11
5,139.687244992305,209.627793331922,2016-02-11
6,160.248538227958,229.155409665979,2016-02-11
1,66.7893970720187,144.26509767556,2016-02-12
2,72.6790041982688,138.021878707463,2016-02-12
3,96.0896298459199,170.655182606354,2016-02-12
4,122.116291620075,199.049555340723,2016-02-12
5,137.082917553289,205.719495089052,2016-02-12
6,158.659785635788,226.883493459177,2016-02-12
1,67.5213880759399,145.84619824403,2016-02-13
2,70.8008529403948,134.455154479908,2016-02-13
3,94.2158778099684,167.327398990504,2016-02-13
4,119.31839616943,194.48898575617,2016-02-13
5,134.478590114272,201.811196846181,2016-02-13
6,157.071033043619,224.611577252375,2016-02-13
1,68.253379079861,147.4272988125,2016-02-14
2,68.9227016825208,130.888430252353,2016-02-14
3,92.3421257740169,163.999615374654,2016-02-14
4,116.520500718784,189.928416171617,2016-02-14
5,131.874262675255,197.902898603311,2016-02-14
6,155.48228045145,222.339661045573,2016-02-14
1,68.9853700837822,149.00839938097,2016-02-15
2,67.0445504246468,127.321706024798,2016-02-15
3,90.4683737380653,160.671831758804,2016-02-15
4,113.722605268138,185.367846587064,2016-02-15
5,129.269935236239,193.99460036044,2016-02-15
6,153.893527859281,220.067744838771,2016-02-15
1,69.7173610877034,150.589499949439,2016-02-16
2,65.1663991667727,123.754981797242,2016-02-16
3,88.5946217021138,157.344048142954,2016-02-16
4,110.924709817492,180.807277002511,2016-02-16
5,126.665607797222,190.08630211757,2016-02-16
6,152.304775267111,217.795828631969,2016-02-16
1,70.4493520916246,152.170600517909,2016-02-17
2,63.2882479088987,120.188257569687,2016-02-17
3,86.7208696661623,154.016264527104,2016-02-17
4,108.126814366846,176.246707417958,2016-02-17
5,124.061280358205,186.178003874699,2016-02-17
6,150.716022674942,215.523912425167,2016-02-17
1,71.1813430955458,153.751701086379,2016-02-18
2,61.4100966510247,116.621533342132,2016-02-18
3,84.8471176302108,150.688480911254,2016-02-18
4,105.3289189162,171.686137833406,2016-02-18
5,121.456952919188,182.269705631828,2016-02-18
6,149.127270082773,213.251996218365,2016-02-18
1,71.913334099467,155.332801654849,2016-02-19
2,59.5319453931507,113.054809114576,2016-02-19
3,82.9733655942592,147.360697295404,2016-02-19
4,102.531023465554,167.125568248853,2016-02-19
5,118.852625480172,178.361407388958,2016-02-19
6,147.538517490603,210.980080011563,2016-02-19
1,72.6453251033882,156.913902223318,2016-02-20
2,57.6537941352766,109.488084887021,2016-02-20
3,81.0996135583077,144.032913679554,2016-02-20
4,99.7331280149078,162.5649986643,2016-02-20
5,116.248298041155,174.453109146087,2016-02-20
6,145.949764898434,208.708163804761,2016-02-20
1,73.3773161073094,158.495002791788,2016-02-21
2,55.7756428774026,105.921360659466,2016-02-21
3,79.2258615223562,140.705130063705,2016-02-21
4,96.9352325642619,158.004429079747,2016-02-21
5,113.643970602138,170.544810903217,2016-02-21
6,144.361012306265,206.436247597959,2016-02-21
1,74.1093071112306,160.076103360258,2016-02-22
2,53.8974916195286,102.35463643191,2016-02-22
3,77.3521094864046,137.377346447855,2016-02-22
4,94.1373371136159,153.443859495194,2016-02-22
5,111.039643163121,166.636512660346,2016-02-22
6,142.772259714096,204.164331391157,2016-02-22
1,74.8412981151517,161.657203928728,2016-02-23
2,52.0193403616546,98.7879122043552,2016-02-23
3,75.4783574504531,134.049562832005,2016-02-23
4,91.3394416629699,148.883289910641,2016-02-23
5,108.435315724105,162.728214417476,2016-02-23
6,141.183507121926,201.892415184355,2016-02-23
1,75.5732891190729,163.238304497198,2016-02-24
2,50.1411891037805,95.2211879767999,2016-02-24
3,73.6046054145016,130.721779216155,2016-02-24
4,88.541546212324,144.322720326088,2016-02-24
5,105.830988285088,158.819916174605,2016-02-24
6,139.594754529757,199.620498977552,2016-02-24
1,76.3052801229941,164.819405065667,2016-02-25
2,48.2630378459065,91.6544637492446,2016-02-25
3,71.73085337855,127.393995600305,2016-02-25
4,85.743650761678,139.762150741535,2016-02-25
5,103.226660846071,154.911617931735,2016-02-25
6,138.006001937588,197.34858277075,2016-02-25
